sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_0,gender_1
1,0.8896210873146622,1,0.19512195121951215,2,0.10416666666666669,1,58.8,0.0945945945945946,False,True
2,0.6808896210873145,2,0.6702439024390243,2,0.7604166666666667,0,66.28,0.0,False,True
3,,0,0.34146341463414626,0,0.5208333333333334,0,57.8,0.06756756756756757,False,True
4,0.2471169686985173,2,,2,0.33333333333333337,1,59.43,,False,True
5,0.6029654036243821,1,0.5682926829268291,0,0.9749999999999999,0,55.5,0.30405405405405406,False,True
6,0.2108731466227347,2,0.4207317073170731,2,0.10416666666666669,0,51.58,,False,True
7,0.20098846787479407,1,0.7073170731707316,0,0.5058333333333334,0,53.29,,True,False
8,0.4448105436573311,2,0.3902439024390243,2,0.3541666666666667,0,62.14,0.07027027027027027,False,True
9,0.6919275123558484,1,0.5365853658536585,0,0.8612500000000001,0,61.29,0.04189189189189191,False,True
10,0.543657331136738,1,0.2682926829268292,0,0.08333333333333337,0,52.21,,False,True
11,,1,0.24390243902439018,0,0.25,1,60.85,0.08108108108108109,False,True
12,0.5172981878088962,1,0.6902439024390241,0,0.20833333333333337,0,63.7,0.06756756756756757,False,True
13,0.2965403624382207,2,0.3658536585365853,0,0.25,1,65.04,,True,False
14,0.8237232289950576,1,0.21951219512195116,0,0.375,0,68.63,0.024324324324324326,True,False
15,,1,0.0,0,0.5416666666666667,1,54.96,,False,True
16,0.6260296540362438,1,0.4634146341463414,0,0.45833333333333337,0,64.66,0.0,True,False
17,0.48105436573311366,1,0.38048780487804856,0,0.20833333333333337,0,62.54,0.13513513513513514,False,True
18,0.49423393739703453,1,0.34146341463414626,0,0.20833333333333337,0,,,True,False
19,,1,0.34146341463414626,0,0.375,1,64.08,,True,False
20,0.49423393739703453,0,,0,0.009999999999999953,0,77.89,0.048648648648648665,False,True
21,0.46128500823723223,1,0.3902439024390243,0,0.0,1,56.7,0.08783783783783786,False,True
22,0.6425041186161449,1,0.8536585365853657,0,0.9375,0,69.06,0.2608108108108108,True,False
23,0.39209225700164735,2,0.5421951219512195,2,0.11520833333333336,1,68.81,0.21621621621621623,True,False
24,0.3789126853377265,2,0.35951219512195104,2,0.875,0,63.62,0.13513513513513514,True,False
25,1.0,2,0.7039024390243901,2,0.9875,0,74.01,0.21621621621621623,False,True
26,0.2899505766062603,1,0.004878048780487809,0,0.5416666666666667,0,65.33,,True,False
27,0.6919275123558484,1,0.3902439024390243,0,0.9166666666666667,0,57.55,0.05405405405405406,False,True
28,0.49423393739703453,1,0.3902439024390243,0,0.375,1,57.69,0.08783783783783786,False,True
29,0.6507413509060955,1,0.42682926829268286,0,0.4864583333333332,0,64.15,0.20270270270270274,False,True
30,0.49423393739703453,1,0.19512195121951215,0,0.5625,0,51.29,,False,True
31,0.601317957166392,1,0.5609756097560974,0,0.041666666666666685,1,56.7,0.06756756756756757,True,False
32,0.26359143327841844,2,0.3658536585365853,2,0.2916666666666667,1,58.32,,True,False
33,0.7248764415156507,1,0.4000000000000001,0,0.01854166666666668,1,62.21,0.10540540540540541,True,False
34,0.46128500823723223,2,0.7560975609756097,0,0.7916666666666667,0,72.78,0.08108108108108109,True,False
35,0.23064250411861614,2,0.04878048780487804,1,0.38416666666666666,1,62.77,,False,True
36,0.6754530477759473,1,0.5365853658536585,0,0.4375,1,62.74,0.13513513513513514,True,False
37,0.11532125205930804,1,0.1707317073170731,0,0.2916666666666667,0,51.45,,False,True
38,0.6425041186161449,2,0.38048780487804856,2,0.16666666666666669,1,55.47,0.16216216216216217,True,False
39,0.3459637561779242,2,0.3902439024390243,0,0.07708333333333345,1,56.86,0.05405405405405406,True,False
40,0.5107084019769357,2,0.34146341463414626,2,0.8958333333333333,0,62.56,0.28513513513513516,False,True
41,0.6589785831960461,1,0.7317073170731706,0,0.20833333333333337,0,66.72,0.11756756756756757,True,False
42,0.4309719934102141,1,0.3658536585365853,0,0.3125,1,69.76,,True,False
43,0.0329489291598023,2,0.3658536585365853,1,0.27083333333333337,0,51.21,,False,True
44,0.8237232289950576,1,0.43902439024390233,0,0.9375,1,62.9,0.13513513513513514,False,True
45,0.5930807248764415,1,0.7560975609756097,0,0.8125,0,69.7,0.0,True,False
46,0.4448105436573311,2,0.5365853658536585,2,,1,66.53,,True,False
47,0.5762767710049423,2,0.38048780487804856,0,0.375,1,71.63,,True,False
48,0.3789126853377265,1,0.1707317073170731,0,0.5833333333333334,0,54.55,0.00540540540540542,False,True
49,0.4118616144975288,1,0.43902439024390233,0,0.2916666666666667,0,62.46,0.06756756756756757,False,True
